scenario,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script
1,70.81,11.41,21.72,8.74,2.19,bummer,bummer,playing video game,"13-year-old Alex was excited to play his new video game after school.But when he turned on the console, he found out that his favorite game was missing from the library.He searched everywhere but couldn't find it and realized his little brother might have accidentally deleted it.There was no backup, and he knew it would take days to download again due to slow internet.""How big is this problem?"" he wondered, feeling a mix of disappointment and frustration."
2,64.93,5.39,21.86,8.37,1.83,bummer,bummer,class,"Jessica was excited for her biology presentation in class.However, on the day of the presentation, she realized she left her project poster at home.Without the poster, her well-prepared talk suddenly felt incomplete.There was no time to go back home, and she couldn’t find any backup materials.Jessica thought to herself, 'How big is this problem?'"
3,59.15,6.61,19.28,8.75,2.30,bummer,bummer,ski,"Lucas, a 12-year-old boy, was excited to ski down his favorite slope during his winter vacation.Just as he reached the top of the ski lift, he realized he had left his ski poles at the lodge.Without the poles, skiing down would be way harder, and there wasn’t an easy way to get back the poles quickly.He knows this means missing out on a fun ski day unless he finds another solution, which could take some time.Lucas asked himself, 'How big is this problem?'"
4,60.88,7.66,20.44,8.40,1.90,bummer,bummer,art,"Liam was excited to display his painting at the school art exhibition.When he arrived, he noticed the corner of his canvas was torn, revealing white space underneath.Liam didn't have any materials with him to repair it quickly.Feeling let down, he wondered if anyone would even notice his artwork now.He thought to himself, 'How big is this problem?'"
5,59.90,3.84,21.77,6.76,1.51,bummer,bummer,swimming,"Jenny, excited for her first swimming competition, arrives at the pool.She realizes she forgot her special swim goggles needed for the competition.She searches for a backup but can't find any, knowing her performance might be affected.Disappointed, she wonders, ""How big is this problem?"""
6,69.92,8.99,21.99,8.41,2.08,bummer,bummer,vacation,"Jamie, a 12-year-old girl, was excited to go snorkeling during her family vacation at the beach.Upon arriving at the beach, she realized she had forgotten her snorkel at home.There was no nearby store that rented or sold snorkeling equipment.Without her snorkeling gear, she couldn't explore the underwater world she'd been eagerly anticipating.Jamie asked herself, ""How big is this problem?"""
7,65.24,7.03,20.58,8.17,2.09,bummer,bummer,dancing,"Lily, a 12-year-old dancer, was getting ready for her school’s dance competition.As she opened her bag, she realized she had left her dance shoes at home.There were no extra shoes available, and her socks were too slippery to dance safely.Lily felt anxious because the competition was about to start and there was no quick fix.She asked herself, ""How big is this problem?"""
8,64.00,8.35,23.45,8.12,1.97,bummer,bummer,birthday party,"Emma was getting ready for her birthday party at the park when it suddenly started to rain heavily.Everyone had to quickly move to the nearby community hall, but it was much smaller and cramped.Several decorations were getting soaked and some of the activities had to be canceled.Emma felt sad because her plans for an outdoor party were ruined.She wondered to herself: ""How big is this problem?"""
9,62.63,4.05,22.14,8.61,1.85,bummer,glitch,vacation,"Liam was at the airport with his family, excited for their vacation to the beach.As they went through security, Liam realized he had left his favorite book at home.There wasn’t enough time to go back and get it, and he felt disappointed.The flight would be long, and Liam didn't have anything else to keep him entertained.He wondered, 'How big is this problem?'"
10,66.53,9.83,20.95,8.46,2.02,bummer,bummer,dancing,"In the bustling school auditorium, Sarah was ready for her dance recital.Just before her performance, she realized she had left her special dancing shoes at home.There wasn't enough time to get them, and no one had a spare pair her size.Sarah felt worried because she had practiced so hard for this moment.Standing there, she wondered, ""How big is this problem?"""
