scenario,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script
1,67.12,5.17,21.87,9.27,1.94,glitch,glitch,curling,"Ella is at the curling rink, excited for her afternoon practice.As she starts practice, she realizes she's put on mismatched socks, one red and one blue.Her coach simply smiles and says it's no big deal, and practice continues smoothly.Ella giggles, realizing it’s just a small mistake with no lasting impact.“How big is this problem?” she wonders, knowing it’s just a glitch."
2,63.38,7.86,21.16,8.64,2.01,glitch,glitch,curling,"Oliver arrives at the curling rink for a friendly match, excited to play with his team.He realizes he forgot his favorite curling broom at home, which he believes helps him play better.Thankfully, his coach notices and lends him a spare broom from the supply closet.Oliver feels relieved as he can still participate with a different broom.As he prepares to join the game, Oliver wonders, ""How big is this problem?"""
3,70.36,6.84,21.39,8.82,1.99,glitch,glitch,singing,"Emily, a 10-year-old, was getting ready to sing at her school's talent show.Just before her performance, she realized she left her lucky microphone charm at home.Feeling nervous, she quickly borrowed a friend's charm for comfort.The temporary fix calmed her nerves, knowing that the show would still go on smoothly.Emily asked herself, 'How big is this problem?' realizing it was just a glitch."
4,68.54,6.73,22.90,9.41,1.90,glitch,glitch,basketball,"Alex was excited for basketball practice but realized he forgot his water bottle at home.It's a small issue because the school gym has a water fountain nearby where he can refill.Alex feels a bit annoyed, but knows he won’t be thirsty for too long.He thinks, 'This is just a glitch, not a big problem.'With a quick drink from the fountain, he's ready to join the game."
5,66.16,3.64,20.49,9.20,2.02,glitch,glitch,running,"Liam was excited to participate in the school's mini-marathon after weeks of practice.Right before his race, he realized he had forgotten his lucky running shoes at home.Luckily, he had his regular sneakers in his backpack, which fit him just fine.Liam wondered if it would affect his run but knew he could still race without any issues.He asked himself, ""How big is this problem?"""
6,65.74,5.34,21.46,9.01,1.89,glitch,glitch,lacrosse,"Alex, a 10-year-old, realizes they've forgotten their lacrosse stick at home on the way to practice.Luckily, the coach has extra sticks that everyone can borrow during practice.Alex uses one of the extra sticks and feels relieved they can still play.The borrowed stick works well enough, but it's not quite like their own.Alex wonders, ""How big is this problem?"""
7,72.43,5.85,24.84,9.37,2.48,glitch,glitch,ski,"Ella, a 12-year-old girl, is at a ski resort with her family, excited to hit the slopes.As she reaches the top of the slope, she ties her boots and realizes she forgot her ski goggles.Fortunately, her older brother offers her his extra pair of goggles, just a bit big but they work fine.Ella feels relieved and wonders if forgetting her goggles was a big problem after all.""How big is this problem?"" she asks herself as she enjoys the rest of the day skiing with her family."
8,64.81,9.41,22.11,8.80,2.21,glitch,glitch,ski,"Liam excitedly hit the ski slopes, looking forward to a perfect day on the snow.As he started skiing, his goggles suddenly started fogging up, making it hard to see.Liam realized he had left his anti-fog spray at home, but quickly remembered he had a spare pair of goggles in his backpack.He put on the backup goggles and could see clearly again, ready to continue skiing.Liam thought to himself, ""How big is this problem?"""
9,66.46,5.52,19.82,8.99,2.39,glitch,glitch,tryout,"Riley, a 10-year-old boy, eagerly heads to soccer tryouts but accidentally leaves his cleats at home.Realizing his mistake, he feels a bit panicked but then remembers he has an old pair of cleats in his backpack.He puts them on, noticing they're a little tight but they still fit well enough for the tryouts.While warming up, Riley's mind races with thoughts of how this might affect his performance.Riley asks himself, ""How big is this problem?"""
10,76.83,7.36,30.35,7.20,1.95,glitch,glitch,dancing,"In a bright, sunny dance studio, Emily, a 10-year-old girl, is practicing her routine with her friends.As they're about to rehearse their final number, Emily realizes she forgot her special dance shoes at home.Feeling a bit stressed, she spots another pair of shoes in her bag that will work temporarily.Emily thinks to herself, ""How big is this problem?"" realizing she can still dance comfortably."
11,69.30,8.66,20.42,9.55,2.03,glitch,glitch,ski,"Jake eagerly heads to the ski resort, excited for a day on the slopes.When he opens his bag, he realizes he forgot his favorite ski goggles at home.Fortunately, he finds a spare pair of goggles in his backpack.The weather is clear, so it wouldn't have been a big deal if he had to ski without them.Jake asks himself, 'How big is this problem?' and feels relieved that it's just a glitch."
12,74.49,13.30,20.31,9.22,2.13,glitch,glitch,ski,"Lily, age 11, puts on her ski boots excitedly on a sunny winter morning at the ski resort.As she reaches the slopes, she realizes she forgot her favorite ski goggles at home.Thankfully, her mom offers a spare pair they brought along, which fit just fine.Lily feels relieved but wonders if she should keep practicing with these instead.""How big is this problem?"" she asks herself, knowing she'll still enjoy her day on the slopes."
13,65.72,8.75,23.47,8.50,1.86,glitch,glitch,tennis,"Gwen arrived at the tennis court, excited for her weekly practice session.As she unpacked her bag, she realized she’d forgotten her favorite water bottle.Luckily, the tennis club had a water fountain where she could refill an extra bottle from her bag.The water didn’t taste as good, but it would do for practice.Gwen wondered to herself, ""How big is this problem?"""
14,71.40,7.72,22.25,6.88,1.57,glitch,glitch,field trip,"Samantha, a 7-year-old girl, is excited about her school field trip to the zoo.As she gets on the bus, Samantha realizes she forgot to pack her favorite snack.Her teacher assures her that there will be snacks available at the zoo.Samantha wonders, 'How big is this problem?'"
15,62.21,5.74,23.24,7.18,1.76,glitch,glitch,volleyball,"Jamie, a 15-year-old boy, was getting ready for his volleyball game in the school gym.As he reached into his bag, he realized he'd forgotten his lucky volleyball socks at home.He felt a little anxious but remembered there were spare socks in the locker room.Relieved, he thought, 'How big is this problem?' as he grabbed the spare socks."
16,69.26,8.66,21.42,8.64,1.96,glitch,glitch,class,"Emma, a 9-year-old girl, forgot her pencil case at home before her math class.She realizes it just as the teacher starts handing out a quick math quiz.Emma remembers that there are spare pencils at the back of the classroom she can use.She knows she can still complete the quiz on time with the spare pencils.Emma thinks to herself, ""How big is this problem?"""
